Pays,Densité (P/Km2),Terre agricole (%),Superficie des terres (Km2),Taille des forces armées,Taux de natalité,Capitale / Ville principale,Émissions de CO2,IPC,Changement de l'IPC (%),Taux de fécondité,Superficie forestière (%),Prix de l'essence,PIB,Taux brut de scolarisation primaire (%),Taux brut de scolarisation tertiaire (%),Mortalité infantile,Plus grande ville,Espérance de vie,Ratio de mortalité maternelle,Salaire minimum,Langue officielle,Dépenses de santé à la charge du patient,Médecins pour mille,Participation à la force de travail (%),Recettes fiscales (%),Taux d'imposition total,Taux de chômage,Latitude,Longitude,Population Urbaine,Population,Continent
Cameroun,56.0,21,475,24.0,35.39,Yaound,8.291,119.0,2,4.57,39,103.0,38760467033.0,103,13,50.6,Douala,58.9,529.0,35.0,French,70,0.09,76,13,58,3.38,7.369722,12.354722,14741256.0,25876380.0,Afrique
Canada,4.0,7,9.984.670,72.0,10.1,Ottawa,544.894,117.0,2,1.5,38,81.0,1736425629520.0,101,69,4.3,Toronto,81.9,10.0,951.0,French,15,2.61,65,13,24,5.56,56.130366,-106.346771,30628482.0,36991981.0,Amérique
République Centrafricaine,8.0,8,623,8.0,35.35,Bangui,297,187.0,37,4.72,36,141.0,2220307369.0,102,3,14.6,Bangui,52.8,45.0,37.0,French,40,0.06,72,9,73,3.68,6.611111,20.939444,1982064.0,4745185.0,Afrique
Tchad,13.0,40,1.284.000,35.0,42.17,N'Djamena,1.016,118.0,-1,5.75,4,78.0,11314951343.0,87,3,14.6,N'Djamena,54.0,45.0,60.0,French,56,0.04,71,0,64,1.89,15.454166,18.732207,3712273.0,15946876.0,Afrique
Chili,26.0,21,756,122.0,12.43,Santiago,85.822,132.0,3,1.65,24,103.0,282318159745.0,101,88,6.2,Santiago,80.0,13.0,200.0,Spanish,32,2.59,63,18,34,7.09,-35.675147,-71.542969,16610135.0,18952038.0,Amérique
Chine,153.0,56,9.596.960,2535000.0,10.9,Beijing,9.893.038,125.0,3,1.69,22,96.0,19910000000000.0,100,51,7.4,Shanghai,77.0,29.0,87.0,Standard Chinese,32,1.98,68,9,59,4.32,35.86166,104.195397,842933962.0,1397715000.0,Asie
Colombie,46.0,40,1.138.910,481.0,14.88,Bogot,97.814,141.0,4,1.81,53,68.0,323802808108.0,114,55,12.2,Bogot,77.1,83.0,123.0,Spanish,18,2.18,69,14,71,9.71,4.570868,-74.297333,40827302.0,50339443.0,Amérique
Comores,467.0,72,2,1060.0,31.88,"Moroni, Comoros",202,104.0,-4,4.21,20,0.0,1185728677.0,100,9,51.3,"Moroni, Comoros",64.1,273.0,71.0,French,75,0.27,43,0,220,4.34,-11.6455,43.3333,248152.0,850886.0,Afrique
République du Congo,16.0,31,342,12.0,32.86,Brazzaville,3.282,125.0,2,4.43,65,97.0,10820591131.0,107,13,36.2,Brazzaville,64.3,378.0,88.0,French,44,0.12,69,9,54,9.47,-0.228021,15.827659,3625010.0,5380508.0,Afrique
Costa Rica,100.0,34,51,10.0,13.97,San Jos,8.023,129.0,2,1.75,55,98.0,61773944174.0,113,55,7.6,San Jos,80.1,27.0,184.0,Spanish,22,2.89,62,14,58,11.85,9.748917,-83.753428,4041885.0,5047561.0,Amérique
Croatie,73.0,28,57,18.0,9.0,Zagreb,17.488,110.0,1,1.47,34,126.0,60415553039.0,96,68,4.0,Zagreb,78.1,8.0,292.0,Croatian,15,3.0,51,22,20,6.93,45.1,15.2,2328318.0,4067500.0,Europe
Cuba,106.0,60,111,76.0,10.17,Havana,28.284,0.0,0,1.62,31,140.0,100023000000.0,102,41,3.7,Havana,78.7,36.0,5.0,Spanish,0,8.42,54,0,0,1.64,21.521757,-77.781167,8739135.0,11333483.0,Amérique
Chypre,131.0,12,9,16.0,10.46,Nicosia,6.626,103.0,0,1.33,19,123.0,24564647935.0,99,76,1.9,Statos,80.8,6.0,0.0,Greek,44,1.95,63,24,22,7.27,35.126413,33.429859,800708.0,1198575.0,Europe
République tchèque,139.0,45,79,23.0,10.7,Prague,102.218,116.0,3,1.69,35,117.0,246489245495.0,101,64,2.7,Prague,79.0,3.0,300.0,Czech,15,4.12,61,15,46,1.93,49.817492,15.472962,7887156.0,10669709.0,Europe
République Démocratique du Congo,40.0,12,2.344.858,134.0,41.18,Kinshasa,2.021,134.0,3,5.92,67,149.0,47319624204.0,108,7,68.2,Kinshasa,60.4,473.0,18.0,French,37,0.07,64,11,51,4.24,-4.038333,21.758664,39095679.0,86790567.0,Afrique
Danemark,137.0,62,43,15.0,10.6,Copenhagen,31.786,110.0,1,1.73,15,95.0,348078018464.0,101,81,3.6,Copenhagen,81.0,4.0,0.0,Danish,14,4.01,62,32,24,4.91,56.26392,9.501785,5119978.0,5818553.0,Europe
Djibouti,43.0,73,23,13.0,21.47,Djibouti City,620,120.0,3,2.73,0,132.0,3318716359.0,75,5,49.8,Djibouti City,66.6,248.0,0.0,French,20,0.22,60,0,38,10.3,11.825138,42.590275,758549.0,973560.0,Afrique
Dominique,96.0,33,751,0.0,12.0,Roseau,180,104.0,1,1.9,57,0.0,596033333.0,115,7,32.9,Roseau,76.6,0.0,148.0,English,28,1.08,0,22,33,0.0,15.414999,-61.370976,50830.0,71808.0,Amérique
République Dominicaine,225.0,49,49,71.0,19.51,Santo Domingo,25.258,136.0,2,2.35,42,107.0,88941298258.0,106,60,24.1,Santo Domingo,73.9,95.0,40.0,Spanish,44,1.56,64,13,49,5.84,18.735693,-70.162651,8787475.0,10738958.0,Amérique
Équateur,71.0,22,284,41.0,19.72,Quito,41.155,124.0,0,2.43,50,61.0,107435665000.0,103,45,12.2,Quito,76.8,59.0,246.0,Spanish,44,2.04,68,0,34,3.97,-1.831239,-78.183406,11116711.0,17373662.0,Amérique
Égypte,103.0,4,1.001.450,836.0,26.38,Cairo,238.560,289.0,9,3.33,0,40.0,303175127598.0,106,35,18.1,Cairo,71.8,37.0,0.0,Modern Standard Arabic,62,0.45,46,12,44,10.76,26.820553,30.802498,42895824.0,100388073.0,Afrique
El Salvador,313.0,76,21,42.0,18.25,San Salvador,7.169,111.0,0,2.04,13,83.0,27022640000.0,95,29,11.8,San Salvador,73.1,46.0,50.0,Spanish,28,1.57,59,18,36,4.11,13.794185,-88.89653,4694702.0,6453553.0,Amérique
Guinée Équatoriale,50.0,10,28,1.0,33.24,Malabo,5.655,124.0,1,4.51,56,0.0,11026774945.0,62,2,62.6,Malabo,58.4,301.0,105.0,Spanish,72,0.4,62,6,79,6.43,1.650801,10.267895,984812.0,1355986.0,Afrique
Érythrée,35.0,75,118,202.0,30.3,Asmara,711,0.0,0,4.06,15,95.0,2065001626.0,68,3,31.3,Asmara,65.9,480.0,0.0,Tigrinya,52,0.06,78,0,84,5.14,15.179384,39.782334,1149670.0,6333135.0,Afrique
Estonie,31.0,23,45,6.0,10.9,Tallinn,16.590,122.0,2,1.59,51,114.0,31386949981.0,97,70,2.1,Tallinn,78.2,9.0,314.0,Estonian,23,4.48,64,21,48,5.11,58.595272,25.013607,916024.0,1331824.0,Europe
Eswatini,67.0,0,17,3000.0,20.214973544973542,Mbabane,0,0.0,0,0.0,0,0.0,3791304348.0,0,0,21.33280423280424,Mbabane,72.27967914438503,0.0,0.0,English,11,0.0,0,29,0,0.0,-26.522503,31.465866,22304543.215789475,1093238.0,Afrique
Éthiopie,115.0,36,1.104.300,138.0,32.34,Addis Ababa,14.870,144.0,16,4.25,12,75.0,96107662398.0,101,8,39.1,Addis Ababa,66.2,401.0,0.0,Amharic,38,0.08,80,8,38,2.08,9.145,40.489673,23788710.0,112078730.0,Afrique
Fidji,49.0,23,18,4.0,21.28,Suva,2.046,132.0,2,2.77,56,82.0,5535548972.0,106,16,21.6,Suva,67.3,34.0,128.0,Fiji Hindi,21,0.84,58,24,32,4.1,-17.713371,178.065032,505048.0,889953.0,Océanie
Finlande,18.0,8,338,25.0,8.6,Helsinki,45.871,112.0,1,1.41,73,145.0,268761201365.0,100,88,1.4,Helsinki,81.7,3.0,0.0,Swedish,20,3.81,59,21,37,6.59,61.92411,25.748151,4716888.0,5520314.0,Europe
France,119.0,52,644,307.0,11.3,Paris,303.276,110.0,1,1.88,31,139.0,2715518274227.0,102,66,3.4,Paris,82.5,8.0,1116.0,French,7,3.27,55,24,61,8.43,46.227638,2.213749,54123364.0,67059887.0,Europe
Gabon,9.0,20,268,7.0,31.61,Libreville,5.321,122.0,2,3.97,90,92.0,16657960228.0,140,8,32.7,Libreville,66.2,252.0,146.0,French,26,0.68,53,10,47,20.0,-0.803689,11.609444,1949694.0,2172579.0,Afrique
Gambie,239.0,60,11,1.0,38.54,Banjul,532,173.0,7,5.22,48,118.0,1763819048.0,98,3,39.0,Serekunda,61.7,597.0,13.0,English,20,0.1,59,9,48,9.06,13.443182,-15.310139,1453958.0,2347706.0,Afrique
Géorgie,57.0,34,70,26.0,13.47,Tbilisi,10.128,134.0,5,2.06,41,76.0,17743195770.0,99,64,8.7,Tbilisi,73.6,25.0,5.0,Georgian,57,7.12,68,22,10,14.4,42.315407,43.356892,2196476.0,3720382.0,Asie
Allemagne,240.0,48,357,180.0,9.5,Berlin,727.973,113.0,1,1.56,33,139.0,3845630030824.0,104,70,3.1,Berlin,80.9,7.0,999.0,German,12,4.25,61,12,49,3.04,51.165691,10.451526,64324835.0,83132799.0,Europe
Ghana,137.0,69,239,16.0,29.41,Accra,16.670,268.0,7,3.87,41,92.0,66983634224.0,105,16,34.9,Accra,63.8,308.0,27.0,English,36,0.14,68,13,55,4.33,7.946527,-1.023194,17249054.0,30792608.0,Afrique
Grèce,81.0,48,132,146.0,8.1,Athens,62.434,102.0,0,1.35,32,95.0,209852761469.0,100,137,3.6,Macedonia,81.3,3.0,446.0,Greek,36,5.48,52,26,52,17.24,39.074208,21.824312,8507474.0,10716322.0,Europe
Grenade,331.0,24,349,800.0,16.47,"St George's, Grenada",268,107.0,1,2.06,50,112.0,1228170370.0,107,105,13.7,"St George's, Grenada",72.4,25.0,0.0,English,57,1.41,0,19,48,0.0,12.1165,-61.679,40765.0,112003.0,Amérique
Guatemala,167.0,36,109,43.0,24.56,Guatemala City,16.777,143.0,4,2.87,33,79.0,76710385880.0,102,22,22.1,Guatemala City,74.1,95.0,160.0,Spanish,56,0.35,62,11,35,2.46,15.783471,-90.230759,8540945.0,16604026.0,Amérique
Guinée,53.0,59,246,13.0,36.36,Conakry,2.996,263.0,10,4.7,26,90.0,13590281809.0,92,12,64.9,Kankan,61.2,576.0,0.0,French,54,0.08,62,11,69,4.3,9.945587,-9.696645,4661505.0,12771246.0,Afrique
Guinée-Bissau,70.0,58,36,4.0,35.13,Bissau,293,112.0,1,4.48,70,0.0,1340389411.0,119,3,54.0,Bissau,58.0,45.0,16.0,Portuguese,37,0.13,72,10,46,2.47,11.803749,-15.180413,840922.0,1920922.0,Afrique
Guyana,4.0,9,215,3.0,19.97,"Georgetown, Guyana",2.384,116.0,2,2.46,84,90.0,4280443645.0,98,12,25.1,"Georgetown, Guyana",69.8,169.0,98.0,English,40,0.8,56,0,31,11.85,4.860416,-58.93018,208912.0,782766.0,Amérique
Haïti,414.0,67,28,0.0,24.35,Port-au-Prince,2.978,179.0,12,2.94,4,81.0,8498981821.0,114,1,49.5,Port-au-Prince,63.7,480.0,25.0,French,36,0.23,67,0,43,13.78,18.971187,-72.285215,6328948.0,11263077.0,Amérique
